run,expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,sd
10_100,GPUmatrix,70,4.7133397310972214e-4,5.151169607415795e-4,1872.9351329167018,23296,1.8748099428595615,999,1,0.5333873995114118,2.2421332151964794e-4
10_100,parallelDist_1,70,2.18329019844532e-4,2.3113400675356388e-4,4198.167089683463,22920,4.202369459142606,999,1,0.23796099075116217,2.724702169106306e-4
10_100,parallelDist_8,70,9.437697008252144e-5,1.4058343367651105e-4,7253.638887009928,22920,0,1000,0,0.13786183949559927,2.168659731511527e-5
10_100,stats,80,8.468389278277755e-4,8.669060189276934e-4,1142.0380263500579,25328,1.1431812075576155,999,1,0.8747519582975656,1.6592920526612519e-4
10_100,proxy,80,0.0010735540417954326,0.0011169461067765951,880.9377052674365,79032,0.8818195247922287,999,1,1.1340188914909959,1.606311019508357e-4
10_100,proxyC,80,9.097071597352624e-4,9.630471467971802e-4,1023.67833221531,377008,7.216262160631591,993,7,0.9700312771601602,4.240979901426142e-4
10_100,distances,80,5.224801134318113e-5,5.627598147839308e-5,16975.460529642256,179392,51.079620450277595,997,3,0.05873183812946081,2.5996767824430105e-4
10_100,distances_matrix,80,2.3077300284057856e-4,2.458159578964114e-4,3940.887121431272,460848,31.781347753478,992,8,0.2517199730500579,4.028457010336951e-4
10_100,Rfast,80,9.316497016698122e-5,1.011599088087678e-4,9171.939753633167,105048,9.181120874507673,999,1,0.10891916288528591,1.9964692901262564e-4
10_100,rcpp_serial,80,1.358449226245284e-4,1.4022307004779577e-4,6974.105261042808,53800,6.981086347390198,999,1,0.14324418152682483,1.7882121468756491e-4
10_100,rcpp_parallel_8,80,2.5869114324450493e-5,2.988602500408888e-5,32064.38698296165,53800,32.096483466428076,999,1,0.031156061100773513,1.9323237238774835e-4
10_100,fortran_serial,80,1.6226409934461117e-4,1.7300504259765148e-4,5641.796179124106,153744,16.976317489841843,997,3,0.17671677039470524,2.6825480797666935e-4
10_100,fortran_parallel_8,80,1.6526004765182734e-4,1.7418700736016035e-4,5664.375903187085,153744,17.04426049103436,997,3,0.17601232987362891,2.3098423571880328e-4
10_100,c_fortran_serial,80,1.3476295862346888e-4,1.371168764308095e-4,7118.969909664399,0,0,1000,0,0.1404697607504204,1.1176179711445118e-5
10_100,c_fortran_parallel_8,80,1.3609614688903093e-4,1.39471550937742e-4,6797.917638099329,0,0,1000,0,0.14710387110244483,1.7313774643930942e-5
10_100,GPUmatrix,80,4.738678690046072e-4,5.104258889332414e-4,1878.0627016853362,23296,1.8799426443296658,999,1,0.5319311219500378,2.7921106382190796e-4
10_100,parallelDist_1,80,3.0477100517600775e-4,3.187269903719425e-4,3069.176275364174,28880,3.072248523888062,999,1,0.3254945009248331,2.3227316004519502e-4
10_100,parallelDist_8,80,1.040259376168251e-4,1.5460001304745674e-4,6682.610967797793,28880,0,1000,0,0.1496421091724187,3.110313919130754e-5
10_100,stats,90,0.0012016240507364273,0.0012312891194596887,806.4706743897832,32088,0.8072779523421253,999,1,1.2387307210592553,1.6639121548322358e-4
10_100,proxy,90,0.0014371160650625825,0.0014810130815021694,662.22895412594,99392,1.327112132516914,998,2,1.5070316599449143,2.2879580931246503e-4
10_100,proxyC,90,0.001081849099136889,0.0011647046194411814,838.6326499598389,472496,6.763166531934185,992,8,1.1828778667841107,6.731821794791098e-4
10_100,distances,90,6.332807242870331e-5,7.043208461254835e-5,12810.263102252937,226992,51.44683976808408,996,4,0.07775015954393893,3.030988101458076e-4
10_100,distances_matrix,90,3.233369207009673e-4,3.450270160101354e-4,2783.884146828917,583176,28.120041887160777,990,10,0.3556182469474152,4.92274613794596e-4
10_100,Rfast,90,1.275390386581421e-4,1.36125017888844e-4,7136.334383702547,132248,21.473423421371756,997,3,0.13970757904462516,2.8894378364747254e-4
10_100,rcpp_serial,90,1.9968405831605196e-4,2.0860112272202969e-4,4670.2440838303955,67400,4.674919002833229,999,1,0.21390744938980788,3.522531975010062e-4
10_100,rcpp_parallel_8,90,3.608805127441883e-5,4.055607132613659e-5,23531.84129355224,67400,23.555396690242482,999,1,0.042453116504475474,2.1459536081238235e-4
10_100,fortran_serial,90,2.3189489729702473e-4,2.4496903643012047e-4,3991.6519423068466,194544,12.010988793300442,997,3,0.24977127625606954,2.8932885689436085e-4
10_100,fortran_parallel_8,90,2.3442902602255344e-4,2.4387799203395844e-4,4025.128228557607,194544,12.111719845208448,997,3,0.2476939723128453,2.5588119432447243e-4
10_100,c_fortran_serial,90,1.9600708037614822e-4,2.0086148288100958e-4,4904.21707765629,0,0,1000,0,0.20390614529605955,1.3487370474249604e-5
10_100,c_fortran_parallel_8,90,1.9713002257049084e-4,2.0127248717471957e-4,4903.650635799196,0,0,1000,0,0.20392969937529415,1.1891947136779803e-5
10_100,GPUmatrix,90,4.781570751219988e-4,5.144249880686402e-4,1902.0491570200372,23296,1.9039531101301674,999,1,0.5252230187179521,2.753829613955098e-4
10_100,parallelDist_1,90,4.0700403042137623e-4,4.2471708729863167e-4,2272.2836006756593,35640,2.274558158834494,999,1,0.43964582576882094,2.2023239659461457e-4
